group,id,item,language,misc,f1_start,f2_start,f1_cent,f2_cent,vot,ri,cog,sd,sk,kt,label,rep_n,phon,voicing,stress
bi_aldrich,P09,pancake,english,5,466.69,927.49,364.3,875.99,84.83,2.36,329.36,605.36,5.68,52.38,NA,1,p,voiceless,stressed
bi_aldrich,P09,posterity,english,5,304.21,604.37,421.3,634,54.22,2.89,235.97,415.23,11.38,189.06,NA,1,p,voiceless,unstressed
bi_aldrich,P09,tasmanian,english,5,558.25,814.43,472.82,774.51,86.3,8.55,551.41,1087.43,3.64,14.73,NA,1,t,voiceless,unstressed
bi_aldrich,P09,pontific,english,5,212.79,644.89,392.27,666.04,59.76,4.76,376.61,556.92,10.28,135,NA,1,p,voiceless,unstressed
bi_aldrich,P09,pangaea,english,5,311.89,960.92,317.72,896.99,75.22,-0.28,205.55,294.85,19.54,513.19,NA,1,p,voiceless,unstressed
bi_aldrich,P09,captive,english,5,577.06,840.34,550,777.49,104.3,27.91,1928.29,3237.48,1.39,0.46,NA,1,k,voiceless,stressed
bi_aldrich,P09,capsize,english,5,575.07,859.32,536.9,756.2,106.27,11.54,1909.82,1909.17,2.06,6.01,NA,1,k,voiceless,stressed
bi_aldrich,P09,casting,english,5,600.66,838.87,509.37,767.88,112.57,13.97,2594,3209,1.11,-0.36,NA,1,k,voiceless,stressed
bi_aldrich,P09,capsule,english,5,600.98,839.42,492.47,731.87,87.94,12.34,3270.69,2486.88,1.13,0.67,NA,1,k,voiceless,stressed
bi_aldrich,P09,confound,english,5,260.28,801.44,254.98,827.24,70.87,19.39,2070.15,1631.96,2.51,9.03,NA,1,k,voiceless,unstressed
bi_aldrich,P09,padlock,english,5,574.73,822.77,530.59,774.09,110.41,-4.96,180.42,355.64,16.12,342.81,NA,1,p,voiceless,stressed
bi_aldrich,P09,pander,english,5,416.64,938.94,269.16,822.83,115.25,-5.12,194.83,208.02,13.15,443.15,NA,1,p,voiceless,stressed
