
12-0250-English-Spanish-t-d
11/24/2012	19:35:13

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Reaction Time	Font Color	ISI Durations	Screen Location	Screen Location II
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)	(Trial Variable)
Main Group		Experiment	Experiment, 201	Stimulus (201, snake3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 107	Stimulus (107, evening2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 264	Stimulus (264, tantrum3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 51	Stimulus (51, damage3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 73	Stimulus (73, dannar1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 142	Stimulus (142, lazo1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 189	Stimulus (189, river3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 180	Stimulus (180, ninno3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 77	Stimulus (77, dannino2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 108	Stimulus (108, evening3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 150	Stimulus (150, lighthouse3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 172	Stimulus (172, nevera1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 6	Stimulus (6, alfombra3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 178	Stimulus (178, ninno1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 236	Stimulus (236, tactics2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 71	Stimulus (71, danielle2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 243	Stimulus (243, tamanno3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 43	Stimulus (43, daltonico1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 251	Stimulus (251, tampoco2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 67	Stimulus (67, danesa1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 151	Stimulus (151, lila1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 235	Stimulus (235, tactics1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 211	Stimulus (211, taberna1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 13	Stimulus (13, arbol1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 156	Stimulus (156, liso3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 188	Stimulus (188, river2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 119	Stimulus (119, firma2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 59	Stimulus (59, dancette2.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 5	Stimulus (5, alfombra2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 2	Stimulus (2, abuela2.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 36	Stimulus (36, dagger3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 45	Stimulus (45, daltonico3.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 72	Stimulus (72, danielle3.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 169	Stimulus (169, neck1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 250	Stimulus (250, tampoco1.wav)				SPANISH	NR	0					
Main Group		Experiment	Experiment, 55	Stimulus (55, damper1.wav)				ENGLISH	NR	0					
Main Group		Experiment	Experiment, 238	Stimulus (238, tactil1.wav)				SPANISH	NR	0					
